Location,Type,Pi�ces,Salles de bains,Surface,Prix
Zenata, Casablanca,Appartement,3,3,102,1352000
Beauséjour, Casablanca,Appartement,2,2,150,1950000
Hay Charaf, Marrakech,Appartement,3,1,84,800000
Malabata, Tanger,Appartement,3,3,206,3200000
Abdelmoumen, Casablanca,Appartement,2,1,283,2230000
Palmier, Casablanca,Studio,1,0,63,1250000
Triangle d'Or, Casablanca,Appartement,3,2,178,3500000
Lalla Takerkoust, Marrakech,Villa,4,4,350,3850000
Iberia, Tanger,Appartement,3,2,259,4300000
Socrate, Casablanca,Appartement,3,2,149,2380000
Palmier, Casablanca,Appartement,3,2,156,2400000
Ain Sebaa, Casablanca,Appartement,3,2,92,1058000
Ain Sebaa, Casablanca,Appartement,3,2,80,920000
Dar salam, Rabat,Appartement,3,3,262,5640000
Route de Tahanaoute, Marrakech,Villa,3,3,500,5700000
Oasis, Casablanca,Studio,1,0,46,1020000
Amelkis, Marrakech,Villa,3,3,700,7200000
Souissi, Rabat,Villa,7+,7+,5,100000000
Tamraght, Agadir,Maison,2,1,120,1500000
Palmeraie, Marrakech,Appartement,2,2,118,1800000
Imi Ouaddar, Agadir,Appartement,2,1,115,1600000
Al Wifaq, Agadir,Maison,4,3,120,2600000
Californie, Casablanca,Villa,4,4,2,35000000
Maarif, Casablanca,Appartement,2,1,94,1034000
Casa Anfa, Casablanca,Duplex,3,2,158,4500000
Dar Bouazza, Casablanca,Villa,4,420,420,6600000
Bab Doukkala, Marrakech,Riad,3,320,320,2900000
Bouskoura, Casablanca,Appartement,3,3,200,3450000
Racine extension, Casablanca,Appartement,3,2,170,2820000
Majorelle, Marrakech,Appartement,3,2,85,1500000
Ain Diab, Casablanca,Appartement,2,2,147,3250000
Les Princesses, Casablanca,Studio,1,0,65,1250000
Agadir, Agadir,Villa,4,3,222,5300000
Souissi, Rabat,Villa,6,5,2,26000000
Quartier Al Qods, Casablanca,Villa,7,339,339,3060000
Ferme Bretone, Casablanca,Appartement,2,2,100,1957000
Longchamps, Casablanca,Villa,5,4,412,10900000
Hivernage, Marrakech,Duplex,3,3,403,10900000
Ain Sebaa, Casablanca,Appartement,2,1,65,747500
Agdal, Marrakech,Villa,5,7,750,5900000
Sidi Yahya des Zaers, Temara,Ferme,160,,160,19000000
Triangle d'Or, Casablanca,Appartement,3,2,120,1900000
Maarif, Casablanca,Appartement,2,2,95,15000
Guéliz, Marrakech,Appartement,3,3,145,2500000
2 Mars, Casablanca,Appartement,3,3,148,2000000
Bouskoura, Casablanca,Maison,4,4,359,6450000
Souissi, Rabat,Villa,7,7,3,39000000
Azli, Marrakech,Maison,7+,4,282,3200000
Maarif Extension, Casablanca,Appartement,2,1,107,1500000
Tilila, Agadir,Villa,4,3,295,3200000
Ain Diab, Casablanca,Villa,6,4,1,30000000
Ain Diab, Casablanca,Appartement,2,2,90,1980000
Sonaba, Agadir,Villa,5,4,300,5500000
Centre Ville, Agadir,Villa,4,4,310,4800000
Hay Dakhla, Agadir,Appartement,3,1,150,1400000
Bouznika Bay, Bouznika,Appartement,3,2,232,7500000
2 Mars, Casablanca,Villa,3,3,315,6800000
Bouskoura, Casablanca,Villa,3,3,331,4950000
Place mozart, Tanger,Appartement,3,2,92,1300000
Californie, Casablanca,Villa,5,4,1,16000000
Route de Ouarzazate, Marrakech,Villa,7+,7+,650,11000000
Racine, Casablanca,Duplex,4,2,337,4600000
Franceville, Casablanca,Studio,1,0,48,1050000
Gauthier, Casablanca,Appartement,3,2,177,3650000
Route d'Ourika, Marrakech,Villa,5,3,210,1600000
Taghazout, Agadir,Villa,3,2,520,5500000
AIN ITTI, Marrakech,Appartement,2,2,88,900000
Oasis, Casablanca,Appartement,2,2,65,1235000
Bouskoura, Casablanca,Villa,4,4,500,7000000
Martil, Martil,Appartement,2,80,80,340000
Maarif, Casablanca,Appartement,3,2,220,3300000
Souissi, Rabat,Villa,6,6,2,30000000
Benslimane, Benslimane,Terrain,0,0,18,9200000
Dar Bouazza, Casablanca,Villa,3,2,280,4400000
Hermitage, Casablanca,Appartement,3,3,115,2000000
Racine, Casablanca,Appartement,2,2,120,2200000
Ferme Bretone, Casablanca,Appartement,2,2,112,2200000
