Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Dacia;Dokker;2017;10 000 - 14 999;Diesel;6;Manuelle;Non;Correct;110000
Mercedes-Benz;220;2007;180 000 - 189 999;Diesel;9;Automatique;Non;Excellent;128000
Renault;Clio;2018;90 000 - 94 999;Diesel;6;Automatique;Oui;Excellent;127800
Nissan;Qashqai;2009;130 000 - 139 999;Diesel;8;Manuelle;Non;Très bon;95000
Peugeot;307;2005;400 000 - 449 999;Diesel;6;Manuelle;Non;Bon;60000
Toyota;RAV 4;2013;300 000 - 349 999;Diesel;8;Manuelle;Oui;Très bon;105000
Mercedes-Benz;Classe CLA;2014;130 000 - 139 999;Diesel;9;Automatique;Non;Excellent;260000
Dacia;Logan;2014;120 000 - 129 999;Diesel;6;Manuelle;Non;Très bon;70000
Fiat;TIPO;2021;50 000 - 54 999;Diesel;6;Manuelle;Oui;Excellent;125000
Volkswagen;GOLF 4;2002;140 000 - 149 999;Diesel;8;Manuelle;Non;Très bon;85000
Renault;Megane 4;2019;40 000 - 44 999;Diesel;6;Manuelle;Non;Excellent;158000
Renault;Modus;2004;120 000 - 129 999;Diesel;6;Manuelle;Non;Très bon;68000
Hyundai;Santa Fe;2008;160 000 - 169 999;Diesel;9;Manuelle;Non;Excellent;78000
Dacia;Duster;2018;80 000 - 84 999;Diesel;6;--;Non;Excellent;128000
Peugeot;Bipper;2012;100 000 - 109 999;Diesel;6;Manuelle;Non;Excellent;72000
Ford;Fiesta;2016;90 000 - 94 999;Essence;7;Manuelle;Non;Très bon;80000
Peugeot;508;2018;90 000 - 94 999;Diesel;6;Manuelle;Oui;Excellent;155000
Peugeot;208;2016;20 000 - 24 999;Diesel;6;Manuelle;Oui;Excellent;115000
Land Rover;Range Rover Sport;2011;140 000 - 149 999;Diesel;12;Manuelle;Non;Excellent;195000
Ford;C-Max;2018;85 000 - 89 999;Diesel;6;Manuelle;;;148000
Audi;Q5;2011;300 000 - 349 999;Diesel;8;Automatique;;Excellent;172000
Dacia;Dokker;2018;10 000 - 14 999;Diesel;6;Manuelle;Non;Très bon;104000
Peugeot;206+;2009;45 000 - 49 999;Essence;6;Manuelle;Oui;Bon;63000
Renault;Clio;2018;100 000 - 109 999;Diesel;6;Automatique;Oui;Très bon;125000
Renault;Clio;2018;25 000 - 29 999;Diesel;6;Manuelle;Oui;Très bon;120000
Jeep;Grand Cherokee;2017;120 000 - 129 999;Diesel;12;Automatique;Oui;Excellent;285000
Toyota;Corolla verso;2012;200 000 - 249 999;Diesel;8;Manuelle;Oui;Bon;92000
Audi;A3;2013;190 000 - 199 999;Diesel;8;Automatique;Oui;Excellent;210000
Ford;Focus;2016;120 000 - 129 999;Diesel;6;Manuelle;Oui;;130000
Opel;Astra;2008;400 000 - 449 999;Diesel;7;Manuelle;Non;Très bon;68000
Audi;Q5;2013;120 000 - 129 999;Diesel;8;Manuelle;Oui;Très bon;185000
Citroen;Berlingo;2018;70 000 - 74 999;Diesel;6;Manuelle;Oui;Excellent;105000
Dacia;Logan;2017;10 000 - 14 999;Diesel;6;Manuelle;Oui;Excellent;90000
Fiat;500;2018;30 000 - 34 999;Essence;7;Automatique;Oui;Excellent;155000
Fiat;Punto;2013;130 000 - 139 999;Essence;6;Manuelle;Non;Très bon;63000
Hyundai;H-1;2017;180 000 - 189 999;Diesel;10;Manuelle;Oui;Très bon;127000
Renault;Megane Estate;2010;180 000 - 189 999;Diesel;7;Manuelle;Non;Très bon;98000
Toyota;RAV 4;2008;350 000 - 399 999;Diesel;9;Manuelle;Non;Excellent;90000
